Objeto,Fornecedor,Período da contratação,E-mail,Telefone
"IPL-PRO-2022/00456              DESCRIÇÃO DO SERVIÇO: Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",DIGITAL WORK COMPUTER SERVICE COMERCIAL LTDA,,fabio.moraes@digitalwork.com.br,(11) 3527-9014 / (11) 94552-4806
"IPL-PRO-2022/00456              DESCRIÇÃO DO SERVIÇO: Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",STORBACK TECNOLOGIA COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA,,adalberto.filho@storback.com.br,(21) 2223-1050 | (21) 2223-1304 
"IPL-PRO-2022/00456              DESCRIÇÃO DO SERVIÇO: Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",PRINT SOLUÇÃO EM TECNOLOGIA LTDA.,,walter@printsolucao.com.br, (27) 3063-6663  /  (27) 99994-1253
Contratação de empresa especializada na prestação de serviços de apoio operacional às atividades da Empresa Municipal de Informática S/A – IplanRio,VINIL GESTÃO E FACILITIES LTDA,,,
Contratação de empresa especializada na prestação de serviços de apoio operacional às atividades da Empresa Municipal de Informática S/A – IplanRio,WG ,,,
Contratação de empresa especializada na prestação de serviços de apoio operacional às atividades da Empresa Municipal de Informática S/A – IplanRio,ESPAÇO SERVIÇOS ESPECIALIZADOS,,comercial@espacopessoal.com.br,(21 )3139-3019
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,BRASOFTWARE INFORMÁTICA LTDA.,,rafael.oliveira@brasoftware.com.br,21 3554 6668
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,IPNET SERVIÇOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA.,,flavio.carneiro@ipnet.cloud,(21) 3553 2717
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,LTA RH INFORMATICA COMERCIO REPRESENTACOES,,luiz_bissigo@lta-rh.com.br,(21) 3190  1990
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,CLARO S.A.,,Gisele.pimenta@embratel.com.br,21 97594-3212
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,VS DATA COMÉRCIO & DISTRIBUIÇÃO LTDA,,bruno.teixeira@vsdata.com.br, 41 2118 7017
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,DATARAIN CONSULTING E SERVIÇOS DE TECNOLOGIA S/A,,diego.caldeira@datarain.com.br,(11) 99457-1815
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,BK TECNOLOGIA DA INFORMAÇÃO LTDA,,edison@bktech.com.br,(61) 98136-7690
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,SERVICE IT LTDA.,,leandro.ferreira@service.com.br / comercialrj@service.com.br, (21) 96469-4726
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,"RCI CONSULTING - CONSULTORIA, ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA.",,antonio.augusto@rciit.com,(51) 3076-2777
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,DAREDE SERVIÇOS DE TI LTDA,,leandro.magdalena@darede.com.br, 11 3900 1010 /  11 976 512 424
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,AX4B SISTEMAS DE INFORMATICA LTDA,,marcio.cassiano@ax4b.com, 21 3197-2545
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,XERTICA BRASIL LTDA,,emilio.goncalves@xertica.com,  (41) 99600-6293
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,TELSINC COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA.,,gerlic@sonda.com,21 2217-450 / 99723-7950
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CRÉDITOS DE NUVEM PARA EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS ,SOLO NETWORK BRASIL S/A,,galber.figueiredo@solonetwork.com.br, (21) 98993-7277  / (41) 3051 7500
FORNECIMENTO DE ÁGUA MINERAL NATURAL,RICK & DÉIA ,,rd40graus@yahoo.com.br, 21 98844-5902
FORNECIMENTO DE ÁGUA MINERAL NATURAL,Onitauá Mineradora LTDA,, leguian@leguian.br,21 2584-2063
FORNECIMENTO DE ÁGUA MINERAL NATURAL,ALIBRAL DISTRIBUIDORA E TRANSPORTADORA ,,distribuidoraalibral@gmail.com,21 2756-7078
REGISTRO DE PREÇO PARA AQUISIÇÃO DE INFRAESTRUTURA DE HARDWARE DE ARMAZENAMENTO E BACKUP PARA MODERNIZAÇÃO DOS SISTEMAS FAZENDÁRIOS ,STORBACK TECNOLOGIA COMERCIO E SERVICOS DE INFORMATICA LTDA,,adalberto.filho@storback.com.br, (21) 2223-1050/ (21) 2223-1304
REGISTRO DE PREÇO PARA AQUISIÇÃO DE INFRAESTRUTURA DE HARDWARE DE ARMAZENAMENTO E BACKUP PARA MODERNIZAÇÃO DOS SISTEMAS FAZENDÁRIOS ,APSI COMERCIO E SERVIÇOS DE INFORMATICA EIRELI,,vendas.apsitech@gmail.com,21 26118356
REGISTRO DE PREÇO PARA AQUISIÇÃO DE INFRAESTRUTURA DE HARDWARE DE ARMAZENAMENTO E BACKUP PARA MODERNIZAÇÃO DOS SISTEMAS FAZENDÁRIOS ,QUALIS TECNOLOGIA DE INFORMACAO LTDA,,comercial@qualistec.com.br,(21) 96413-3957
REGISTRO DE PREÇO PARA AQUISIÇÃO DE INFRAESTRUTURA DE HARDWARE DE ARMAZENAMENTO E BACKUP PARA MODERNIZAÇÃO DOS SISTEMAS FAZENDÁRIOS ,NETCENTER INFORMATICA LTDA,,claudio.medeiros@netcenter.com.br,(21) 4501-4001 / (21) 99526-2763
REGISTRO DE PREÇO PARA AQUISIÇÃO DE INFRAESTRUTURA DE HARDWARE DE ARMAZENAMENTO E BACKUP PARA MODERNIZAÇÃO DOS SISTEMAS FAZENDÁRIOS ,IBS1 INFO BUSINESS SOLUTIONS LTDA,,marcos.damiao@ibs1.com.br, 21 99904-4974
AQUISIÇÃO DE EQUIPAMENTOS DE AUDIOVISUAL,DAYADO SOLUÇÕES LTDA,,dayadosolucoes@gmail.com,(21) 2042-0645 / 98600-9528
AQUISIÇÃO DE EQUIPAMENTOS DE AUDIOVISUAL,NOVO PONTO DIGITAL COMERCIO LTDA,,comercial4@novopontodigital.com.br, (21) 2196-9494 R 219 / (21) 98089-5363
AQUISIÇÃO DE EQUIPAMENTOS DE AUDIOVISUAL,YOUNGEST,,comercial@youngest.com.br,(21) 99309-6456
AQUISIÇÃO DE EQUIPAMENTOS DE AUDIOVISUAL,RTT INFORMATICA E TELECOMUNICAÇÕES LTDA,,informatica5@rtt.com.br, (21) 3344-5000
AQUISIÇÃO DE EQUIPAMENTOS DE AUDIOVISUAL,ALR PEREIRA COMÉRCIO ATACADISTA DE MAQUINAS E PEÇAS,,regina@infore.com.br, (22) 99963-5047
" PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO DE SOFTWARE/SUBSCRIÇÕES DE PRODUTOS RED HAT, PARA ATUALIZAÇÃO E SUPORTE TÉCNICO DAS LICENÇAS DE EXISTENTE NO DATACENTER, PELO PRAZO DE 24 MESES.",CSI INOVAÇÃO EM TI LTDA.,,comercial@csiway.com.br,(27) 3204-5111
" PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO DE SOFTWARE/SUBSCRIÇÕES DE PRODUTOS RED HAT, PARA ATUALIZAÇÃO E SUPORTE TÉCNICO DAS LICENÇAS DE EXISTENTE NO DATACENTER, PELO PRAZO DE 24 MESES.",PPN TECNOLOGIA  E INFORMATICA LTDA,,comercial@ppntecnologia.com.br,(61) 3963-0266
" PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO DE SOFTWARE/SUBSCRIÇÕES DE PRODUTOS RED HAT, PARA ATUALIZAÇÃO E SUPORTE TÉCNICO DAS LICENÇAS DE EXISTENTE NO DATACENTER, PELO PRAZO DE 24 MESES.",SYSTEM MANAGER TECNOLOGIA EM INFORMATICA LTDA,,Leandro.silva@smanager.com.br,(11) 3424-0951
" PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO DE SOFTWARE/SUBSCRIÇÕES DE PRODUTOS RED HAT, PARA ATUALIZAÇÃO E SUPORTE TÉCNICO DAS LICENÇAS DE EXISTENTE NO DATACENTER, PELO PRAZO DE 24 MESES.",PARS PRODUTOS DE PROCESSAMENTO DE DADOS LTDA,,marcos.brito@pars.com.br,(21) 2122-0800
" PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO DE SOFTWARE/SUBSCRIÇÕES DE PRODUTOS RED HAT, PARA ATUALIZAÇÃO E SUPORTE TÉCNICO DAS LICENÇAS DE EXISTENTE NO DATACENTER, PELO PRAZO DE 24 MESES.",ALLTECH - SOLUÇÕES EM TECNOLOGIA LTDA,,mrossetto@alltechsolucoes.com.br,(61) 3344-0236    (61) 99818-3179
"Prestação de serviços de telecomunicações na modalidade SRTT (Serviço de Rede de Transporte de Telecomunicações) e/ou SCM (Serviço de Comunicação Multimídia), com fornecimento de meios físicos (acesso e porta) e equipamento de  omunicação de dados do tipo Roteador / CPE - (AS) Autonomous System – Dupla Abordagem - 2 (Dois) Enlaces de 3 Gigas – Abordagem por Provedores Distintos) com Proteção Contra Ataques de Negação de Serviço (DOS e DDOS) ",CLARO S.A.,,gisele.pimenta@embratel.com.br, 21 21213614 / 21 975943212
"Prestação de serviços de telecomunicações na modalidade SRTT (Serviço de Rede de Transporte de Telecomunicações) e/ou SCM (Serviço de Comunicação Multimídia), com fornecimento de meios físicos (acesso e porta) e equipamento de  omunicação de dados do tipo Roteador / CPE - (AS) Autonomous System – Dupla Abordagem - 2 (Dois) Enlaces de 3 Gigas – Abordagem por Provedores Distintos) com Proteção Contra Ataques de Negação de Serviço (DOS e DDOS) ",DATA CORPORE SERVIÇOS DE TELECOMUNICAÇÕES E INFORMÁTICA EIRELI,,gustavo.lopes@datacorpore.com.br,(21) 35139011 / (21) 25161474
"Prestação de serviços de telecomunicações na modalidade SRTT (Serviço de Rede de Transporte de Telecomunicações) e/ou SCM (Serviço de Comunicação Multimídia), com fornecimento de meios físicos (acesso e porta) e equipamento de  omunicação de dados do tipo Roteador / CPE - (AS) Autonomous System – Dupla Abordagem - 2 (Dois) Enlaces de 3 Gigas – Abordagem por Provedores Distintos) com Proteção Contra Ataques de Negação de Serviço (DOS e DDOS) ",TIM S.A,,nfjunior@timbrasil.com.br, 21 98113-5575
Contratação de dois seguimentos de fibra ótica entre DataCenter e Edifício Torre Norte do Centro Empresarial Rio Cidade Nova na Cidade Nova,FNT TELECOMUNICAÇÕES ,,sac@fnttelecom.com.br, 21 98288-6303
Contratação de dois seguimentos de fibra ótica entre DataCenter e Edifício Torre Norte do Centro Empresarial Rio Cidade Nova na Cidade Nova,FASTCOM TECNOLOGIA,,, 21 9128-3238
Contratação de dois seguimentos de fibra ótica entre DataCenter e Edifício Torre Norte do Centro Empresarial Rio Cidade Nova na Cidade Nova,TI ENGENHARIA ,,, 21 99985-0587
"PRESTAÇÃO DE SERVIÇO TELEFÔNICO MÓVEL DE DADOS, NA MODALIDADE SMS (SHORT MESSAGE SERVICE)",MAXX Projetos e Consultoria em  TI LTDA EPP,,, (81) 4020-1905
"PRESTAÇÃO DE SERVIÇO TELEFÔNICO MÓVEL DE DADOS, NA MODALIDADE SMS (SHORT MESSAGE SERVICE)",A E S MARIANO ASSESSORIA ,,, (11) 3777-5128
"PRESTAÇÃO DE SERVIÇO TELEFÔNICO MÓVEL DE DADOS, NA MODALIDADE SMS (SHORT MESSAGE SERVICE)",MARKTEL Serviços Digitais LTDA,,, (31) 4063-7993
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE
LICENCIAMENTO CONTINUADO GOOGLE MAPS PLATFORM COM SUPORTE
TÉCNICO",IPNET SERVIÇOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA,,flavio.cafrneiro@ipnet.cloud,(21) 3553-2717
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE
LICENCIAMENTO CONTINUADO GOOGLE MAPS PLATFORM COM SUPORTE
TÉCNICO",GEOAMBIENTE SENSORIAMENTO REMOTO LTDA,,info@geoambiente.com.br, (12) 3878-6400
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE
LICENCIAMENTO CONTINUADO GOOGLE MAPS PLATFORM COM SUPORTE
TÉCNICO",SERVIBRASIL EM TECNOLOGIA DA INFORMAÇÃO LTDA,,renata.figueiredo@servinformacion.com,11 930367040
"AQUISIÇÃO DE DISCOS RÍGIDOS PARA SUBSISTEMA DE ARMAZENAMENTO MARCA DELL EMC, MODELOS VNX-7600, UNITY-450F, UNITY-600 E DATADOMAIN 6800, PARA REPOSIÇÃO DE PEÇAS COM FALHAS, POR DISPENSA PELO VALOR ",STORBACK TECNOLOGIA COMERCIO E SERVICOS DE INFORMATICA LTDA,,adalberto.filho@storback.com.br ,(21) 2223-1050 (21) 2223-1304 (21) 2146-2787
"AQUISIÇÃO DE DISCOS RÍGIDOS PARA SUBSISTEMA DE ARMAZENAMENTO MARCA DELL EMC, MODELOS VNX-7600, UNITY-450F, UNITY-600 E DATADOMAIN 6800, PARA REPOSIÇÃO DE PEÇAS COM FALHAS, POR DISPENSA PELO VALOR ",KNL TECNOLOGIA COMERCIO E SERVIÇOS LTDA,,alessandra.jorje@knltecnologia.com.br,(21) 99479-9814
"AQUISIÇÃO DE DISCOS RÍGIDOS PARA SUBSISTEMA DE ARMAZENAMENTO MARCA DELL EMC, MODELOS VNX-7600, UNITY-450F, UNITY-600 E DATADOMAIN 6800, PARA REPOSIÇÃO DE PEÇAS COM FALHAS, POR DISPENSA PELO VALOR ",APSI COMERCIO E SERVICOS DE INFORMATICA EIRELI,,vendas.apsitech@gmail.com,(21) 99497-4883
serviços  de  Licenciamento  de  Microsoft  Windows  11  Pro,"MAPData Tecnologia, Informática e Comércio Ltda",,juliana.silva@mapdata.com.br, (19) 3475-4100
serviços  de  Licenciamento  de  Microsoft  Windows  11  Pro,Software.com.br Tecnologia e Consultoria Ltda,,felipe.santos@software.com.br, (11) 3665-8550
serviços  de  Licenciamento  de  Microsoft  Windows  11  Pro,Tecnetworking Serviços e Soluções em TI LTDA,,governo@tecnetbr.com.br,53520-020
Prestação de servicos especializados de desmontagem e montagem de móveis.,TRANSPORTES NOVO LAR,,WWW.TRANSPORTESNOVOLAR.COM.BR,(21) 3681-4235
Prestação de servicos especializados de desmontagem e montagem de móveis.,MUDANÇAS MÉIER,,CONTATO@MUDANCASMEIER.COM.BR,(21) 2593-1330
Prestação de servicos especializados de desmontagem e montagem de móveis.,TOP QUALITY MUDANÇAS ,,topqualitymuda@yahoo.com.br,(21) 96488-8548
AQUISIÇÃO ACESSÓRIOS DE HIGIENE PARA A NOVA SEDE ,JLHK DISTRIBUIDORA,,jlhkcomercial@hotmail.com,"(21)2655-7074/
96750-8408"
AQUISIÇÃO ACESSÓRIOS DE HIGIENE PARA A NOVA SEDE ,COMERCIAL LB MIX LTDA,,comercial.lbmix@gmail.com,(21)4128-3481
AQUISIÇÃO ACESSÓRIOS DE HIGIENE PARA A NOVA SEDE ,VAN-MEX COM. E SERV. LTDA,,VANMEX@HOTMAIL.COM.BR,:2233-8433
"Prestação de serviços de solução informatizada, na modalidade Software as a Service – SaaS, para Controle de Patrimônio, a fim de possibilitar o controle objetivo e sistematizado dos bens móveis da IPLANRIO S/A, incluindo capacitação, suporte técnico e migração da base de dados atualmente em uso",AFIXCODE PATRIMÔNIO E AVALIAÇÕES LTDA,,comercial@afixcode.com.br,(11) 2888-4747
"Prestação de serviços de solução informatizada, na modalidade Software as a Service – SaaS, para Controle de Patrimônio, a fim de possibilitar o controle objetivo e sistematizado dos bens móveis da IPLANRIO S/A, incluindo capacitação, suporte técnico e migração da base de dados atualmente em uso",CONECTAA DESENVOLVIMENTO DE SISTEMAS LTDA,,"comercial@conectaa.com.br
administrativo@conectaa.com.br","(48) 3028-1281
(48) 99179-6963"
"Prestação de serviços de solução informatizada, na modalidade Software as a Service – SaaS, para Controle de Patrimônio, a fim de possibilitar o controle objetivo e sistematizado dos bens móveis da IPLANRIO S/A, incluindo capacitação, suporte técnico e migração da base de dados atualmente em uso",RIOPRO INFORMÁTICA LTDA,,rsilva@riopro.com.br,(21) 96413-3581
"Prestação de serviços de solução informatizada, na modalidade Software as a Service – SaaS, para Controle de Patrimônio, a fim de possibilitar o controle objetivo e sistematizado dos bens móveis da IPLANRIO S/A, incluindo capacitação, suporte técnico e migração da base de dados atualmente em uso",Patrimax - Controle Patrimonial,,"comercial@patrimax.com.br
douglas@alfenas.psi.br","(35) 3292-3475
(35) 99974-2133"
AQUISIÇÃO DE MOBILIÁRIO PARA ARMAZENAMENTO DE COMPUTADORES,CENTROFLEX MÓVEIS LTDA,,contato@centroflexoffice.com.br,(21)99606-8144
AQUISIÇÃO DE MOBILIÁRIO PARA ARMAZENAMENTO DE COMPUTADORES,EXPLORER2001,,vendas@explorer2001.com,(21)3381-9437
AQUISIÇÃO DE MOBILIÁRIO PARA ARMAZENAMENTO DE COMPUTADORES,SINAL ABERTO MÓVEIS,,vendas@sinalabertomoveis.com.br,(21)3352-1729
Contratação de empresa especializada para prestação de serviços técnicos de elaboração de projeto de segurança contra incêndio e pânico da sede da IPLANRIO  (PSCIP) com vistas a obter o Certificado de Aprovação Assistido (CAA),HYDRA PROJECT PROJETOS E INSTALAÇÃO CONTRA INCÊNDIO,,contato@hydraproject.com.br,21 3495-3003
Contratação de empresa especializada para prestação de serviços técnicos de elaboração de projeto de segurança contra incêndio e pânico da sede da IPLANRIO  (PSCIP) com vistas a obter o Certificado de Aprovação Assistido (CAA),HYDRA RJ BRIGADA DE INCÊNDIO LTDA,,comercial@hydrabrigada.com,21 3268-5268
